Filename,Predictions
139/002__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
139/018__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
139/020__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
14/002__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
14/023__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
14/024__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
14/033__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
140/005__1 Grosz_poland.jpg,"1 Grosz,Polish Zloty,poland"
140/011__1 Grosz_poland.jpg,"1 Grosz,Polish Zloty,poland"
140/015__1 Grosz_poland.jpg,"2 Grosze,Polish Zloty,poland"
140/026__1 Grosz_poland.jpg,"1 Grosz,Polish Zloty,poland"
141/004__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
141/015__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
141/020__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
141/021__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
142/001__5 Groszy_poland.jpg,"1 Grosz,Polish Zloty,poland"
142/008__5 Groszy_poland.jpg,"5 Groszy,Polish Zloty,poland"
142/014__5 Groszy_poland.jpg,"5 Groszy,Polish Zloty,poland"
142/027__5 Groszy_poland.jpg,"2 Grosze,Polish Zloty,poland"
143/001__10 Groszy_poland.jpg,"10 Kurus,Turkish Lira,turkey"
143/006__10 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
143/011__10 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
143/012__10 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
144/001__20 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
144/014__20 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
144/019__20 Groszy_poland.jpg,"20 Groszy,Polish Zloty,poland"
144/027__20 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
145/003__50 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
145/006__50 Groszy_poland.jpg,"5 Groszy,Polish Zloty,poland"
145/007__50 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
145/034__50 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
146/008__1 Zloty_poland.jpg,"1 Zloty,Polish Zloty,poland"
146/027__1 Zloty_poland.jpg,"1 Zloty,Polish Zloty,poland"
146/033__1 Zloty_poland.jpg,"2 Zlote,Polish Zloty,poland"
146/035__1 Zloty_poland.jpg,"50 Groszy,Polish Zloty,poland"
147/015__2 Zlote_poland.jpg,"1 Grosz,Polish Zloty,poland"
147/018__2 Zlote_poland.jpg,"2 Zlote,Polish Zloty,poland"
147/025__2 Zlote_poland.jpg,"20 Groszy,Polish Zloty,poland"
147/032__2 Zlote_poland.jpg,"2 Zlote,Polish Zloty,poland"
148/001__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
148/031__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
148/034__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
148/036__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
149/004__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
149/018__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
149/019__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
149/036__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
15/012__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
15/013__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
15/014__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
15/018__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
150/003__5 Kopeks_russia.jpg,"1 Kopek,Russian Ruble,russia"
150/009__5 Kopeks_russia.jpg,"1 Kopek,Russian Ruble,russia"
150/030__5 Kopeks_russia.jpg,"5 Kopeks,Russian Ruble,russia"
150/035__5 Kopeks_russia.jpg,"1 Kopek,Russian Ruble,russia"
151/004__10 Kopeks_russia.jpg,"10 Kopeks,Russian Ruble,russia"
151/015__10 Kopeks_russia.jpg,"50 Cents,Australian dollar,australia"
151/016__10 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
151/025__10 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
152/002__50 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
152/006__50 Kopeks_russia.jpg,"2 Baht,Thai Baht,thailand"
152/007__50 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
152/015__50 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
153/013__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
153/025__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
153/030__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
153/036__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
154/005__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
154/019__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
154/033__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
154/036__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
155/001__5 Rubles_russia.jpg,"100 Rupiah,Indonesian Rupiah,indonesia"
155/005__5 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
155/024__5 Rubles_russia.jpg,"10 Cents,Canadian Dollar,canada"
155/032__5 Rubles_russia.jpg,"5 Rubles,Russian Ruble,russia"
156/001__10 Rubles_russia.jpg,"10 Rubles,Russian Ruble,russia"
156/005__10 Rubles_russia.jpg,"10 Rubles,Russian Ruble,russia"
156/014__10 Rubles_russia.jpg,"10 Rubles,Russian Ruble,russia"
156/017__10 Rubles_russia.jpg,"1 Grosz,Polish Zloty,poland"
157/011__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
157/013__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
157/014__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
157/029__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
158/008__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
158/023__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
158/028__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
158/033__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
159/002__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
159/014__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
159/017__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
159/036__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
16/001__5 Pence_united_kingdom.jpg,"10 Rappen,Swiss Franc,switzerland"
16/014__5 Pence_united_kingdom.jpg,"5 Pence,British Pound,united_kingdom"
16/015__5 Pence_united_kingdom.jpg,"5 Pence,British Pound,united_kingdom"
16/021__5 Pence_united_kingdom.jpg,"5 Pence,British Pound,united_kingdom"
160/001__20 Cents_singapore.jpg,"20 Cents,Singapore Dollar,singapore"
160/010__20 Cents_singapore.jpg,"20 Cents,Singapore Dollar,singapore"
160/033__20 Cents_singapore.jpg,"20 Cents,Singapore Dollar,singapore"
160/035__20 Cents_singapore.jpg,"20 Sen,Malaysian Ringgit,malaysia"
161/006__50 Cents_singapore.jpg,"50 Cents,Singapore Dollar,singapore"
161/020__50 Cents_singapore.jpg,"50 Cents,Singapore Dollar,singapore"
161/029__50 Cents_singapore.jpg,"50 Cents,Singapore Dollar,singapore"
161/032__50 Cents_singapore.jpg,"50 Cents,Singapore Dollar,singapore"
162/014__1 Dollar_singapore.jpg,"1 Dollar,Singapore Dollar,singapore"
162/029__1 Dollar_singapore.jpg,"1 Dollar,Singapore Dollar,singapore"
162/032__1 Dollar_singapore.jpg,"1 Dollar,Singapore Dollar,singapore"
162/034__1 Dollar_singapore.jpg,"1 Dollar,Singapore Dollar,singapore"
163/001__5 Dollars_singapore.jpg,"5 Zlotych,Polish Zloty,poland"
163/005__5 Dollars_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
163/006__5 Dollars_singapore.jpg,"50 Cents,Canadian Dollar,canada"
163/007__5 Dollars_singapore.jpg,"1 Dollar,New Zealand dollar,new_zealand"
164/008__5 Cents_south_africa.jpg,"5 Cents,South African Rand,south_africa"
164/009__5 Cents_south_africa.jpg,"50 Paise,Indian Rupee,india"
164/010__5 Cents_south_africa.jpg,"5 Cents,South African Rand,south_africa"
164/019__5 Cents_south_africa.jpg,"5 Cents,South African Rand,south_africa"
165/006__10 Cents_south_africa.jpg,"10 Cents,South African Rand,south_africa"
165/031__10 Cents_south_africa.jpg,"10 Cents,South African Rand,south_africa"
165/033__10 Cents_south_africa.jpg,"20 Cents,New Zealand dollar,new_zealand"
165/034__10 Cents_south_africa.jpg,"10 Cents,South African Rand,south_africa"
166/001__20 Cents_south_africa.jpg,"20 Cents,South African Rand,south_africa"
166/005__20 Cents_south_africa.jpg,"20 Cents,South African Rand,south_africa"
166/012__20 Cents_south_africa.jpg,"20 Cents,South African Rand,south_africa"
166/032__20 Cents_south_africa.jpg,"20 Cents,South African Rand,south_africa"
167/011__50 Cents_south_africa.jpg,"1 Dollar,Singapore Dollar,singapore"
167/023__50 Cents_south_africa.jpg,"50 Cents,South African Rand,south_africa"
167/024__50 Cents_south_africa.jpg,"50 Cents,South African Rand,south_africa"
167/032__50 Cents_south_africa.jpg,"50 Cents,South African Rand,south_africa"
168/001__1 Rand_south_africa.jpg,"5 Rand,South African Rand,south_africa"
168/030__1 Rand_south_africa.jpg,"20 Hellers,Czech Koruna,czech_republic"
168/032__1 Rand_south_africa.jpg,"1 Rand,South African Rand,south_africa"
168/033__1 Rand_south_africa.jpg,"1 Rand,South African Rand,south_africa"
169/004__2 Rand_south_africa.jpg,"1 Rand,South African Rand,south_africa"
169/016__2 Rand_south_africa.jpg,"2 Rand,South African Rand,south_africa"
169/022__2 Rand_south_africa.jpg,"2 Rand,South African Rand,south_africa"
169/031__2 Rand_south_africa.jpg,"2 Rand,South African Rand,south_africa"
17/004__10 Pence_united_kingdom.jpg,"10 Pence,British Pound,united_kingdom"
17/026__10 Pence_united_kingdom.jpg,"10 Pence,British Pound,united_kingdom"
17/030__10 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
17/032__10 Pence_united_kingdom.jpg,"10 Pence,British Pound,united_kingdom"
170/001__5 Rand_south_africa.jpg,"5 Rand,South African Rand,south_africa"
170/007__5 Rand_south_africa.jpg,"5 Rand,South African Rand,south_africa"
170/011__5 Rand_south_africa.jpg,"5 Rand,South African Rand,south_africa"
170/032__5 Rand_south_africa.jpg,"5 Rand,South African Rand,south_africa"
171/004__10 Ore_sweden.jpg,"10 Ore,Swedish Krona,sweden"
171/006__10 Ore_sweden.jpg,"10 Ore,Swedish Krona,sweden"
171/023__10 Ore_sweden.jpg,"10 Agorot,Israeli New Shekel,israel"
171/036__10 Ore_sweden.jpg,"10 Won,Korean Won,south_korea"
172/014__50 Ore_sweden.jpg,"50 Ore,Swedish Krona,sweden"
172/015__50 Ore_sweden.jpg,"50 Ore,Swedish Krona,sweden"
172/018__50 Ore_sweden.jpg,"50 Ore,Swedish Krona,sweden"
172/019__50 Ore_sweden.jpg,"50 Ore,Swedish Krona,sweden"
173/011__1 Krona_sweden.jpg,"1 Cent,Singapore Dollar,singapore"
173/015__1 Krona_sweden.jpg,"1 Krona,Swedish Krona,sweden"
173/016__1 Krona_sweden.jpg,"1 Krona,Swedish Krona,sweden"
173/027__1 Krona_sweden.jpg,"1 Krona,Swedish Krona,sweden"
174/003__2 Kronor_sweden.jpg,"1 Cent,US Dollar,usa"
174/017__2 Kronor_sweden.jpg,"10 Pence,British Pound,united_kingdom"
174/028__2 Kronor_sweden.jpg,"2 Kronor,Swedish Krona,sweden"
174/036__2 Kronor_sweden.jpg,"2 Kronor,Swedish Krona,sweden"
175/016__5 Kronor_sweden.jpg,"5 Kronor,Swedish Krona,sweden"
175/022__5 Kronor_sweden.jpg,"5 Kronor,Swedish Krona,sweden"
175/028__5 Kronor_sweden.jpg,"5 Kronor,Swedish Krona,sweden"
175/035__5 Kronor_sweden.jpg,"5 Kronor,Swedish Krona,sweden"
176/003__10 Kronor_sweden.jpg,"10 Kronor,Swedish Krona,sweden"
176/010__10 Kronor_sweden.jpg,"10 Kronor,Swedish Krona,sweden"
176/014__10 Kronor_sweden.jpg,"10 Kronor,Swedish Krona,sweden"
176/020__10 Kronor_sweden.jpg,"10 Kroner,Danish Krone,denmark"
177/005__1 Rappen_switzerland.jpg,"1 Rappen,Swiss Franc,switzerland"
177/019__1 Rappen_switzerland.jpg,"1 Rappen,Swiss Franc,switzerland"
177/031__1 Rappen_switzerland.jpg,"1 Rappen,Swiss Franc,switzerland"
177/036__1 Rappen_switzerland.jpg,"1 Rappen,Swiss Franc,switzerland"
178/013__5 Rappen_switzerland.jpg,"5 Rappen,Swiss Franc,switzerland"
178/024__5 Rappen_switzerland.jpg,"5 Rappen,Swiss Franc,switzerland"
178/031__5 Rappen_switzerland.jpg,"5 Rappen,Swiss Franc,switzerland"
178/034__5 Rappen_switzerland.jpg,"5 Rappen,Swiss Franc,switzerland"
179/013__10 Rappen_switzerland.jpg,"10 Rappen,Swiss Franc,switzerland"
